delay_id,asset_id,date,delay_code,delay_desc,downtime_min,tonnage_lost
DLY-1000,FURNACE-01,2026-06-05,MECH,Mechanical failure,103,100.8
DLY-1001,FURNACE-01,2026-02-11,PROC,Process upset,265,388.9
DLY-1002,LADLE-02,2026-05-26,PROC,Process upset,54,62.3
DLY-1003,LADLE-02,2026-02-11,PROC,Process upset,242,324.6
DLY-1004,LADLE-02,2026-04-21,LUBE,Lubrication issue,198,186.4
DLY-1005,CONV-BELT-03,2026-06-04,MECH,Mechanical failure,251,230.6
DLY-1006,CONV-BELT-03,2026-05-12,LUBE,Lubrication issue,19,13.5
DLY-1007,CONV-BELT-03,2026-06-03,ELEC,Electrical fault,198,132.3
DLY-1008,CONV-BELT-03,2026-02-21,WEAR,Component wear,170,260.4
DLY-1009,CONV-BELT-03,2026-05-08,HYDR,Hydraulic fault,267,468.4
DLY-1010,CONV-BELT-03,2026-06-01,ELEC,Electrical fault,267,444.9
DLY-1011,CONV-BELT-03,2026-03-07,WEAR,Component wear,122,50.0
DLY-1012,CONV-BELT-03,2026-02-20,PROC,Process upset,217,120.5
DLY-1013,CONV-BELT-03,2026-05-01,WEAR,Component wear,271,295.8
DLY-1014,CONV-BELT-08,2026-05-12,PROC,Process upset,304,407.7
DLY-1015,CONV-BELT-08,2026-03-20,WEAR,Component wear,104,51.1
DLY-1016,CONV-BELT-08,2026-05-20,PROC,Process upset,48,27.8
DLY-1017,CONV-BELT-08,2026-02-06,WEAR,Component wear,131,214.0
DLY-1018,PUMP-12,2026-02-25,ELEC,Electrical fault,113,179.3
DLY-1019,PUMP-12,2026-06-03,PROC,Process upset,287,361.7
DLY-1020,PUMP-12,2026-03-10,WEAR,Component wear,247,99.5
DLY-1021,PUMP-12,2026-04-12,PROC,Process upset,41,65.4
DLY-1022,PUMP-12,2026-04-25,LUBE,Lubrication issue,223,174.8
DLY-1023,PUMP-12,2026-03-10,WEAR,Component wear,253,276.7
DLY-1024,PUMP-12,2026-03-31,MECH,Mechanical failure,129,60.1
DLY-1025,PUMP-19,2026-03-29,LUBE,Lubrication issue,176,71.7
DLY-1026,PUMP-19,2026-05-12,ELEC,Electrical fault,56,91.4
DLY-1027,PUMP-19,2026-02-22,MECH,Mechanical failure,130,230.0
DLY-1028,PUMP-19,2026-04-12,MECH,Mechanical failure,142,95.9
DLY-1029,HYD-VALVE-07,2026-04-27,MECH,Mechanical failure,64,28.1
DLY-1030,HYD-VALVE-07,2026-04-11,MECH,Mechanical failure,318,482.1
DLY-1031,HYD-VALVE-07,2026-02-06,ELEC,Electrical fault,143,106.7
DLY-1032,HYD-VALVE-07,2026-04-06,HYDR,Hydraulic fault,189,295.9
DLY-1033,HYD-VALVE-07,2026-02-20,ELEC,Electrical fault,281,424.8
DLY-1034,HYD-VALVE-07,2026-05-27,WEAR,Component wear,239,351.3
DLY-1035,HYD-VALVE-07,2026-03-17,LUBE,Lubrication issue,311,178.7
DLY-1036,ROLL-MILL-04,2026-02-08,MECH,Mechanical failure,208,174.4
DLY-1037,ROLL-MILL-04,2026-02-17,PROC,Process upset,48,71.8
DLY-1038,ROLL-MILL-04,2026-05-29,LUBE,Lubrication issue,43,35.3
DLY-1039,ROLL-MILL-04,2026-03-17,LUBE,Lubrication issue,48,26.0
DLY-1040,ROLL-MILL-04,2026-05-29,WEAR,Component wear,41,33.3
DLY-1041,ROLL-MILL-11,2026-04-15,MECH,Mechanical failure,225,163.4
DLY-1042,ROLL-MILL-11,2026-03-21,PROC,Process upset,20,20.7
DLY-1043,ROLL-MILL-11,2026-04-07,LUBE,Lubrication issue,66,57.8
DLY-1044,GEARBOX-05,2026-02-25,MECH,Mechanical failure,247,277.7
DLY-1045,GEARBOX-05,2026-03-22,HYDR,Hydraulic fault,70,38.1
DLY-1046,GEARBOX-05,2026-03-21,PROC,Process upset,49,60.3
DLY-1047,GEARBOX-05,2026-02-18,HYDR,Hydraulic fault,308,177.5
DLY-1048,GEARBOX-05,2026-04-01,ELEC,Electrical fault,196,193.9
DLY-1049,GEARBOX-05,2026-03-05,WEAR,Component wear,242,159.8
DLY-1050,GEARBOX-05,2026-05-19,MECH,Mechanical failure,45,26.0
DLY-1051,GEARBOX-05,2026-03-23,LUBE,Lubrication issue,277,483.0
DLY-1052,COMPRESSOR-09,2026-04-27,WEAR,Component wear,292,433.8
DLY-1053,COMPRESSOR-09,2026-05-18,LUBE,Lubrication issue,173,215.3
DLY-1054,COMPRESSOR-09,2026-04-29,ELEC,Electrical fault,19,21.4
DLY-1055,CRANE-06,2026-03-11,HYDR,Hydraulic fault,44,32.2
DLY-1056,CRANE-06,2026-02-21,WEAR,Component wear,42,41.6
DLY-1057,CRANE-06,2026-05-11,HYDR,Hydraulic fault,118,176.9
